Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C16, C18, C2, C20, C29, C3, C30, C35, C36, C37, C4, C5, C6, C7, C8, C9",0603,19,100nF,
"C12, C15",0805,2,10uF,
"C13, C14",0603,2,2.2uF,
"C17, C19, C25, C26, C27, C28",0603,6,1uF,
"C21, C22",0402,2,8pF,
"C23, C24",0402,2,6pF,
C31,0805,1,4.7uF,
C32,0603,1,1nF,
C33,0402,1,6.8nF,
C34,0402,1,2.7nF,
"D1, D2, D3, D4",0402,4,LED,
"IC1, IC2",SOT95P280X145-5N,2,TPS7A2028PDBVR,
IC3,QFN50P400X400X80-21N-D,1,AD8232ACPZ-R7,
J1,PinHeader_1x05_P2.54mm_Horizontal,1,Conn_01x05_Pin,
J2,SJ235813BSMTTR,1,SJ2-35813B-SMT-TR,
L1,1008,1,2.2uH,
"R1, R2, R21, R22, R23, R24, R25, R26",0603,8,10kOhm,
R10,0603,1,360kOhm,
"R11, R13, R15, R16, R17",0603,5,1MOhm,
R12,0603,1,100kOhm,
R14,0603,1,332kOhm,
"R18, R19, R20, R27, R28, R29",0402,6,33Ohm,
"R3, R4, R5, R8, R9",0603,5,10MOhm,
"R6, R7",0603,2,180kOhm,
"TP1, TP2",PinHeader_1x01_P2.54mm_Vertical,2,TestPoint,
U1,LQFP-100_14x14mm_P0.5mm,1,STM32U5G9VJTxQ,
U2,LGA-14L_STM,1,ST1VAFE6AXTR,
U3,SOIC-8_5.3x5.3mm_P1.27mm,1,W25Q128JVS,
Y1,Crystal_SMD_3215-2Pin_3.2x1.5mm,1,32.768kHz,
Y2,CX3225FB16000D0FZZH1,1,CX3225FB16000D0FZZH1,
