Designator,Mid X,Mid Y,Rotation,Layer
C1,141.1,-102.125,270.0,top
C10,159.425,-94.4,0.0,top
C11,141.1,-99.125,270.0,top
C12,155.15,-112.9,0.0,top
C13,155.35,-111.15,0.0,top
C14,145.35,-92.15,180.0,top
C15,141.35,-92.7,270.0,top
C16,141.825,-108.9,180.0,top
C17,141.825,-110.4,180.0,top
C18,138.825,-107.4,180.0,top
C19,138.825,-108.9,0.0,top
C2,145.75,-111.925,90.0,top
C20,141.1,-106.675,90.0,top
C21,139.27,-104.65,0.0,top
C22,139.27,-103.7,180.0,top
C23,140.87,-96.9,180.0,top
C24,140.87,-95.9,0.0,top
C25,137.75,-112.975,270.0,top
C26,143.75,-113.425,270.0,top
C27,166.25,-111.75,180.0,top
C28,162.75,-109.025,90.0,top
C29,163.5,-105.775,90.0,top
C3,159.375,-108.9,180.0,top
C30,163.5,-102.775,270.0,top
C31,168.75,-101.2,270.0,top
C32,168.5,-96.75,90.0,top
C33,165.23,-95.35,0.0,top
C34,161.25,-92.72,270.0,top
C35,162.45,-113.025,270.0,top
C36,160.225,-113.8,0.0,top
C37,144.2,-98.375,270.0,bottom
C4,160.1,-106.4,90.0,top
C5,160.1,-103.4,90.0,top
C6,160.1,-100.4,90.0,top
C7,157.75,-92.0,270.0,top
C8,151.575,-92.15,180.0,top
C9,143.1,-92.875,270.0,top
D1,166.3225,-113.75,0.0,top
D2,166.3225,-114.75,0.0,top
D3,166.3225,-115.75,0.0,top
D4,163.9275,-115.0,0.0,top
IC1,140.75,-113.25,0.0,top
IC2,165.75,-109.25,180.0,top
IC3,165.0,-98.5,180.0,top
J1,174.73,-96.96,0.0,top
J2,173.725,-110.5,90.0,top
L1,151.425,-112.0,0.0,top
R1,138.775,-105.9,0.0,top
R10,170.925,-95.75,180.0,top
R11,167.2,-93.325,90.0,top
R12,168.75,-93.425,90.0,top
R13,165.7,-93.375,90.0,top
R14,164.0,-93.325,270.0,top
R15,162.5,-94.175,90.0,top
R16,147.25,-111.925,90.0,top
R17,148.75,-111.925,90.0,top
R18,155.25,-115.0,90.0,top
R19,156.75,-115.01,270.0,top
R2,148.325,-92.05,0.0,top
R20,158.25,-115.0,270.0,top
R21,138.675,-110.75,0.0,top
R22,170.25,-92.675,90.0,top
R23,172.2,-92.625,90.0,top
R24,138.25,-92.575,90.0,top
R25,164.0,-112.675,270.0,top
R26,157.425,-97.0,0.0,bottom
R27,144.2,-101.49,90.0,bottom
R28,145.69,-102.4,0.0,bottom
R29,155.29,-98.8,0.0,bottom
R3,165.0,-102.825,90.0,top
R4,165.0,-105.825,90.0,top
R5,167.0,-102.675,90.0,top
R6,170.925,-98.75,0.0,top
R7,170.925,-97.25,180.0,top
R8,171.425,-103.5,0.0,top
R9,171.75,-101.0,90.0,top
TP1,147.0,-115.25,0.0,top
TP2,150.6,-115.25,0.0,top
U1,150.6,-101.65,270.0,top
U2,159.7,-111.499999,0.0,top
U3,149.6,-99.4,270.0,bottom
Y1,138.6,-96.4,270.0,top
Y2,138.15,-101.1,270.0,top
